Product,Brand,Category,Style,Volume(ml),Package,ABV,"Units of Alchole",Units_per(ml)
"Fourpure American Pale Ale",Fourpure,Beer,"Pale Ale",330,can,5,1.7,0.5
"Fourpure Easy Peeler",Fourpure,Beer,IPA,568,draught,4,2.3,0.4
"Fourpure Easy Peeler",Fourpure,Beer,IPA,330,can,4,1.3,0.4
"Fourpure Juicebox",Fourpure,Beer,IPA,330,can,5.9,1.9,0.59
"Fourpure Oatmeal Stout",Fourpure,Beer,Stout,330,can,5.1,1.7,0.51
"Fourpure Pils",Fourpure,Beer,Lager,330,can,4.7,1.6,0.47
"Fourpure Pils Lager",Fourpure,Beer,Lager,568,draught,4.2,2.4,0.42
"Fourpure Session IPA",Fourpure,Beer,IPA,568,draught,4.2,2.4,0.42
"Fourpure Session IPA",Fourpure,Beer,IPA,330,can,4.2,1.4,0.42
"Fourpure Shape Shifter",Fourpure,Beer,IPA,330,can,5.9,1.9,0.59
"Franciscan Well Chieftain IPA","Franciscan Well",Beer,IPA,568,draught,5.5,3.1,0.55
"Franciscan Well Friar Weisse","Franciscan Well",Beer,"Wheat Beer",568,draught,4.7,2.7,0.47
"Franciscan Well Rebel Red","Franciscan Well",Beer,"Red Ale",568,draught,4.3,2.4,0.43
"Franciscan Well Shandon Stout","Franciscan Well",Beer,Stout,568,draught,4.3,2.4,0.43
"Franziskaner Heffe Weissbier",Franziskaner,Beer,"Wheat Beer",568,draught,5,2.8,0.5
"Free Damm",Damm,Beer,Lager,330,can,0,0,0
"Freedom Amber","Freedom Brewery",Beer,"Rye Beer",568,draught,4.7,2.7,0.47
"Freedom Four Lager","Freedom Brewery",Beer,Lager,568,draught,4,2.3,0.4
"Freedom Four Lager","Freedom Brewery",Beer,Lager,330,bottle,4,1.3,0.4
"Freedom Organic Helles Lager","Freedom Brewery",Beer,Lager,568,draught,4.8,2.7,0.48
"Freedom Organic Helles Lager","Freedom Brewery",Beer,Lager,330,bottle,4.8,1.6,0.48
"Freedom Pale Ale","Freedom Brewery",Beer,"Pale Ale",568,draught,4.2,2.4,0.42
"Freedom Pale Ale","Freedom Brewery",Beer,"Pale Ale",330,bottle,4.2,1.4,0.42
"Freedom Pils","Freedom Brewery",Beer,Lager,568,draught,4.4,2.5,0.44
"Freedom Pils","Freedom Brewery",Beer,Lager,330,bottle,4.4,1.5,0.44
"Friels First Press Vintage Cider",Friels,Cider,NULL,568,draught,7.4,4.2,0.74
"Friels Hop Infused Vintage Cider",Friels,Cider,NULL,330,can,4,1.3,0.4
"Friels Vintage First Press Cider",Friels,Cider,NULL,330,can,7.4,2.4,0.74
"Frontier Craft Lager",Fuller's,Beer,Lager,330,bottle,4.5,1.5,0.45
"Frontier Craft Lager",Fuller's,Beer,Lager,330,can,4.5,1.5,0.45
"Fruli Strawberry Beer",Fruli,Beer,"Fruit Beer",568,draught,4.1,2.3,0.41
"Fruli Strawberry Beer",Fruli,Beer,"Fruit Beer",330,bottle,4.1,1.4,0.41
"Fuller's Frontier",Fuller's,Beer,Lager,568,draught,4.5,2.6,0.45
"Fuller's Organic Honey Dew",Fuller's,Beer,"Blonde Ale",500,bottle,5,2.5,0.5
"Furstenberg Premium",Furstenberg,Beer,Lager,500,bottle,5.3,2.7,0.53
"Fyne Ales Jarl","Fyne Ales",Beer,"Blonde Ale",568,draught,3.8,2.2,0.38
"Fyne Ales Sandra Blonde","Fyne Ales",Beer,IPA,568,draught,5.5,3.1,0.55
"Gaymers Original Apple Cider",Gaymers,Cider,NULL,568,draught,4.5,2.6,0.45
"Gold Label",Whitbread,Beer,"Barley Wine",330,bottle,7.5,2.5,0.75
"Golden Sheep","Black Sheep",Beer,"Blonde Ale",568,draught,3.9,2.2,0.39
"Goose Island 312","Goose Island",Beer,"Wheat Beer",568,draught,4.2,2.4,0.42
"Goose Island 312","Goose Island",Beer,"Wheat Beer",355,bottle,4.2,1.5,0.42
"Goose Island 312","Goose Island",Beer,"Wheat Beer",355,can,4.2,1.5,0.42
"Goose Island Four Star Pils","Goose Island",Beer,Lager,568,draught,5.1,2.9,0.51
"Goose Island Green Line Pale Ale","Goose Island",Beer,"Pale Ale",568,draught,5.4,3.1,0.54
"Goose Island Honkers Ale","Goose Island",Beer,Ale,568,draught,4.3,2.4,0.43
"Goose Island Honkers Ale","Goose Island",Beer,Ale,355,bottle,4.3,1.5,0.43
"Goose Island IPA","Goose Island",Beer,IPA,568,draught,5.9,3.4,0.59
"Goose Island IPA","Goose Island",Beer,IPA,355,bottle,5.9,2.1,0.59
"Goose Island IPA","Goose Island",Beer,IPA,355,can,5.9,2.1,0.59
"Goose Island Midway IPA","Goose Island",Beer,IPA,568,draught,4.1,2.3,0.41
"Goose Island Midway Session IPA","Goose Island",Beer,IPA,330,can,4.1,1.4,0.41
Goram,Butcombe,Beer,IPA,500,bottle,5,2.5,0.5
"Grapefruit IPA",TailGate,Beer,IPA,355,can,6.2,2.2,0.62
"Greene King IPA","Greene King",Beer,IPA,568,draught,3.6,2,0.36
"Greene King Light Ale","Greene King",Beer,"Light Ale",275,bottle,3,0.8,0.3
"Greene King One Stop Hop","Greene King",Beer,"Pale Ale",568,draught,4.3,2.4,0.43
"Greene King Rocking Rudolph","Greene King",Beer,"Winter Ale",568,draught,4.2,2.4,0.42
"Greene King Scrum Down","Greene King",Beer,IPA,568,draught,4.1,2.3,0.41
Grolsch,Grolsch,Beer,Lager,568,draught,5,2.8,0.5
Grolsch,Grolsch,Beer,Lager,450,bottle,5,2.3,0.5
"Grolsch Blond",Grolsch,Beer,Lager,568,draught,4,2.3,0.4
Guinness,Guinness,Beer,Stout,568,draught,4.1,2.3,0.41
Guinness,Guinness,Beer,Stout,440,can,4.1,1.8,0.41
"Guinness Dublin Porter",Guinness,Beer,Porter,500,bottle,3.8,1.9,0.38
"Guinness Foreign Extra Stout",Guinness,Beer,Stout,330,bottle,7.5,2.5,0.75
"Guinness Golden Ale",Guinness,Beer,"Blonde Ale",568,draught,4.1,2.3,0.41
"Guinness Golden Ale",Guinness,Beer,"Blonde Ale",500,bottle,4.5,2.3,0.45
"Guinness Original Extra Stout",Guinness,Beer,Stout,330,bottle,4.2,1.4,0.42
"Guinness Rye Pale Ale",Guinness,Beer,"Pale Ale",500,bottle,5,2.5,0.5
"Guinness West Indies Porter",Guinness,Beer,Porter,500,bottle,6,3,0.6
"Gun Brewery Project Babylon","Gun Brewery",Beer,"Pale Ale",330,can,4.6,1.5,0.46
"Hardywood Gingerbread Stout",Hardywood,Beer,Stout,500,bottle,9.2,4.6,0.92
"Hardywood Gingerbread Stout",Hardywood,Beer,Stout,750,bottle,9.2,6.9,0.92
"Hardywood Great Return West Coast IPA",Hardywood,Beer,IPA,473,can,7.5,3.5,0.75
"Hardywood Pilsner",Hardywood,Beer,Lager,355,bottle,5.2,1.8,0.52
"Hardywood Singel",Hardywood,Beer,"Blonde Ale",355,bottle,6.2,2.2,0.62
"Hardywood VIPA",Hardywood,Beer,IPA,355,bottle,5.2,1.8,0.52
"Harveistoun Old Engine Oil",Harviestoun,Beer,"Dark Ale",568,draught,6,3.4,0.6
"Harvest Moon","St Austell",Beer,"Pale Ale",568,draught,4.3,2.4,0.43
"Harviestoun & Twisted",Harviestoun,Beer,"Golden Ale",568,draught,4.2,2.4,0.42
"Harviestoun Bitter & Twisted",Harviestoun,Beer,"Golden Ale",330,bottle,4.2,1.4,0.42
"Harviestoun Broken Dial",Harviestoun,Beer,"Amber Ale",330,bottle,4.5,1.5,0.45
"Harviestoun Cast Iron Amber Ale",Harviestoun,Beer,"Amber Ale",330,bottle,4.5,1.5,0.45
"Harviestoun Forth Craft Lager",Harviestoun,Beer,Lager,330,bottle,4,1.3,0.4
"Harviestoun Nitro Engine Oil",Harviestoun,Beer,Stout,568,draught,4.5,2.6,0.45
"Harviestoun Ola Dubh 12 Year Old",Harviestoun,Beer,Ale,330,bottle,8,2.6,0.8
"Harviestoun Old Engine Oil",Harviestoun,Beer,"Dark Ale",330,bottle,6,2,0.6
"Harviestoun Pale",Harviestoun,Beer,"Golden Ale",330,bottle,3.5,1.2,0.35
"Harviestoun Schiehallion",Harviestoun,Beer,Lager,568,draught,4.8,2.7,0.48
"Harviestoun Schiehallion",Harviestoun,Beer,Lager,330,bottle,4.8,1.6,0.48
"Hawkshead Lager",Hawkshead,Beer,Lager,330,bottle,5,1.7,0.5
"Hawkshead Session IPA",Hawkshead,Beer,IPA,568,draught,4.7,2.7,0.47
"Hawkshead Windemere Pale",Hawkshead,Beer,"Pale Ale",330,bottle,3.5,1.2,0.35
"Hazey Daze","The London Beer Factory",Beer,IPA,568,draught,4.6,2.6,0.46
"Hazey Daze","The London Beer Factory",Beer,IPA,330,can,4.6,1.5,0.46
Heineken,Heineken,Beer,Lager,568,draught,5,2.8,0.5
Heineken,Heineken,Beer,Lager,330,bottle,5,1.7,0.5
Heineken,Heineken,Beer,Lager,330,can,5,1.7,0.5
"Heineken 0.0",Heineken,Beer,Lager,330,bottle,0,0,0
"Help The Heroes",Marston's,Beer,Ale,568,draught,4.2,2.4,0.42
"Henry Westons Country Perry",Westons,Cider,Perry,568,draught,4.5,2.6,0.45
"Henry Westons Medium Dry",Westons,Cider,NULL,500,bottle,6.5,3.3,0.65
"Henry Westons Mulled Cider",Westons,Cider,"Mulled Cider",568,draught,4,2.3,0.4
"Herrljunga Apple Cider",Herrljunga,Cider,NULL,500,bottle,4.5,2.3,0.45
"Herrljunga Blackcurrant & Lime",Herrljunga,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Herrljunga Ginger & Lemon",Herrljunga,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Herrljunga Pear Cider",Herrljunga,Cider,Perry,500,bottle,4.5,2.3,0.45
"Herrljunga Strawberry & Vanilla",Herrljunga,Cider,"Fruit Cider",500,bottle,4,2,0.4
Heverlee,Heverlee,Beer,Lager,568,draught,4.8,2.7,0.48
Heverlee,Heverlee,Beer,Lager,330,can,4.8,1.6,0.48
"Higson's Amber Ale",Higson's,Beer,"Amber Ale",568,draught,4.1,2.3,0.41
"Higson's Pale Ale",Higson's,Beer,"Pale Ale",568,draught,3.8,2.2,0.38
"Hitachino Nest Red Rice Ale",Hitachino,Beer,Ale,330,bottle,7,2.3,0.7
"Hitachino Nest White Ale",Hitachino,Beer,"Wheat Beer",330,bottle,5.5,1.8,0.55
Hobgoblin,Wychwood,Beer,Ale,500,bottle,5.2,2.6,0.52
"Hobgoblin Gold",Wychwood,Beer,Ale,568,draught,4.2,2.4,0.42
"Hobgoblin Gold",Wychwood,Beer,"Golden Ale",500,bottle,4.5,2.3,0.45
"Hobgoblin Ruby",Wychwood,Beer,Ale,568,draught,4.5,2.6,0.45
Hoegaarden,Hoegaarden,Beer,"Wheat Beer",568,draught,4.8,2.7,0.48
Hoegaarden,Hoegaarden,Beer,"Wheat Beer",330,bottle,5,1.7,0.5
"Hog Island Pale Ale","Shepherd Neame",Beer,"Pale Ale",568,draught,4.8,2.7,0.48
"Hogs Back Chocolate Lager","Hogs Back",Beer,Lager,330,bottle,4.5,1.5,0.45
"Holsten Pils",Holsten,Beer,Lager,275,bottle,5,1.4,0.5
Hooky,"Hook Norton Brewery",Beer,Bitter,568,draught,3.5,2,0.35
"Hooky Lion","Hook Norton Brewery",Beer,NULL,568,draught,4,2.3,0.4
"Hop House 13",Guinness,Beer,Lager,568,draught,5,2.8,0.5
"Hop House 13",Guinness,Beer,Lager,330,bottle,5,1.7,0.5
"Hop House 13",Guinness,Beer,Lager,330,can,5,1.7,0.5
"Indian Runner Golden Ale","Indian Runner",Beer,"Golden Ale",568,draught,4.5,2.6,0.45
"Indian Runner Golden Ale","Indian Runner",Beer,"Golden Ale",500,bottle,4.7,2.4,0.47
"Indian Runner India Pale Ale","Indian Runner",Beer,IPA,568,draught,4.9,2.8,0.49
"Indian Runner India Pale Ale","Indian Runner",Beer,IPA,500,bottle,4.9,2.5,0.49
"Inedit Damm",Damm,Beer,Lager,568,draught,4.8,2.7,0.48
"Inedit Damm",Damm,Beer,Lager,330,bottle,4.8,1.6,0.48
"Inedit Damm",Damm,Beer,Lager,750,bottle,4.8,3.6,0.48
"Innis & Gunn Blood Red Sky","Innis & Gunn",Beer,Lager,330,bottle,6.8,2.2,0.68
"Innis & Gunn Blood Red Sky","Innis & Gunn",Beer,"Red Ale",568,draught,5.2,3,0.52
"Innis & Gunn Gunnpowder IPA","Innis & Gunn",Beer,IPA,568,draught,5.6,3.2,0.56
"Innis & Gunn Gunnpowder IPA","Innis & Gunn",Beer,IPA,330,bottle,5.6,1.8,0.56
"Innis & Gunn Gunnpowder IPA","Innis & Gunn",Beer,IPA,330,can,5.6,1.8,0.56
"Innis & Gunn Lager","Innis & Gunn",Beer,Lager,568,draught,4.6,2.6,0.46
"Innis & Gunn Lager","Innis & Gunn",Beer,Lager,330,bottle,4.6,1.5,0.46
"Innis & Gunn Lager","Innis & Gunn",Beer,Lager,330,can,4.6,1.5,0.46
"Innis & Gunn Lager","Innis & Gunn",Beer,Lager,440,can,4.6,2,0.46
"Innis & Gunn Session IPA","Innis & Gunn",Beer,IPA,568,draught,4.2,2.4,0.42
"Innis & Gunn Session IPA","Innis & Gunn",Beer,IPA,330,can,4.6,1.5,0.46
"Innis & Gunn The Original","Innis & Gunn",Beer,Ale,568,draught,5.2,3,0.52
"Innis & Gunn The Original","Innis & Gunn",Beer,Ale,330,bottle,6.6,2.2,0.66
"Innis & Gunn The Original","Innis & Gunn",Beer,Ale,330,can,6.6,2.2,0.66
"Innis & None","Innis & Gunn",Beer,"Pale Ale",330,can,0,0,0
"Island Records Jamaican Porter","Island Records",Beer,Porter,330,can,6.2,2,0.62
"Island Records Rocksteady Pilsner","Island Records",Beer,Lager,568,draught,4,2.3,0.4
"Island Records Rocksteady Pilsner","Island Records",Beer,Lager,330,can,4,1.3,0.4
"Island Records Session IPA","Island Records",Beer,IPA,568,draught,4.5,2.6,0.45
"Island Records Session IPA","Island Records",Beer,IPA,330,can,4.5,1.5,0.45
"Jack Daniels Tennessee Cider","Jack Daniels",Cider,NULL,330,bottle,5.5,1.8,0.55
Jaipur,Thornbridge,Beer,IPA,568,draught,5.9,3.4,0.59
"Jennings Clean Slate",Jennings,Beer,NULL,568,draught,4,2.3,0.4
"Jennings Cumberland Ale",Jennings,Beer,"Golden Ale",500,bottle,4.7,2.4,0.47
"John Smith's Bitter","John Smith's",Beer,Bitter,568,draught,3.8,2.2,0.38
"John Smith's Extra Smooth Biiter","John Smith's",Beer,Bitter,440,can,3.6,1.6,0.36
"John Smith's Extra Smooth Bitter","John Smith's",Beer,Bitter,568,draught,3.6,2,0.36
"Joker IPA","Williams Bros. Brewing Co.",Beer,IPA,500,bottle,5,2.5,0.5
"Kaliber Alcohol Free Lager",Kaliber,Beer,Lager,330,bottle,0.1,0,0.01
"Kentish Pip Skylark Sparkling Cider","Kentish Pip",Cider,NULL,330,can,5.5,1.8,0.55
"Kentish Pip Wild Summer Elderflower Cider","Kentish Pip",Cider,NULL,330,can,4,1.3,0.4
Kingfisher,Kingfisher,Beer,Lager,568,draught,4.5,2.6,0.45
Kingfisher,Kingfisher,Beer,Lager,330,bottle,4.8,1.6,0.48
Kingfisher,Kingfisher,Beer,Lager,650,bottle,4.8,3.1,0.48
"Kinrise Bright Lager","Open Gate",Beer,Lager,568,draught,4,2.3,0.4
"Kirin Ichiban",Kirin,Beer,Lager,568,draught,4.6,2.6,0.46
"Kirin Ichiban",Kirin,Beer,Lager,330,bottle,4.6,1.5,0.46
"Kissmeyer Eagle Kiss",Kissmeyer,Beer,IPA,330,bottle,4.2,1.4,0.42
"Kissmeyer Easy Kiss",Kissmeyer,Beer,"Pale Ale",330,bottle,5.5,1.8,0.55
"Kissmeyer Eclipsed Kiss",Kissmeyer,Beer,Stout,330,bottle,7.7,2.5,0.77
"Kissmeyer Into the Black",Kissmeyer,Beer,IPA,330,bottle,7,2.3,0.7
"Kissmeyer Stocholm Syndrome",Kissmeyer,Beer,IPA,330,bottle,9.5,3.1,0.95
"Kissmeyer Strange Fruit Tripel",Kissmeyer,Beer,Lager,330,bottle,9.5,3.1,0.95
"Kissmeyer Young Lust Belgian Blonde",Kissmeyer,Beer,Lager,330,bottle,6,2,0.6
"Knights Malvern Gold",Knights,Cider,NULL,568,draught,6,3.4,0.6
"Knowle Spring Blonde","Timothy Taylor's",Beer,"Blonde Ale",568,draught,4.2,2.4,0.42
"Kopparberg Black",Kopparberg,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Kopparberg Blueberry & Lime",Kopparberg,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Kopparberg Elderflower & Lime",Kopparberg,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Kopparberg Mixed Fruit",Kopparberg,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Kopparberg Mixed Fruits Non Alcoholic",Kopparberg,Cider,"Fruit Cider",500,bottle,0,0,0
"Kopparberg Naked Apple",Kopparberg,Cider,NULL,500,bottle,4.5,2.3,0.45
"Kopparberg Nordic Berry",Kopparberg,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Kopparberg Pear Cider",Kopparberg,Cider,Perry,500,bottle,4.5,2.3,0.45
"Kopparberg Raspberry",Kopparberg,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Kopparberg Strawberry & Lime",Kopparberg,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Kopparberg Strawberry & Lime Non Alcoholic",Kopparberg,Cider,"Fruit Cider",500,bottle,0,0,0
Kozel,Kozel,Beer,Lager,568,draught,4,2.3,0.4
"Krombacher Low Alcohol Pils",Krombacher,Beer,Lager,330,bottle,0.5,0.2,0.05
"Krombacher Pils",Krombacher,Beer,Lager,568,draught,4.8,2.7,0.48
"Krombacher Pils",Krombacher,Beer,Lager,330,bottle,4.8,1.6,0.48
"Kronenbourg 1664",Kronenbourg,Beer,Lager,568,draught,5,2.8,0.5
"Kronenbourg 1664",Kronenbourg,Beer,Lager,275,bottle,5,1.4,0.5
"Krusovice Imperial",Krusovice,Beer,Lager,568,draught,5,2.8,0.5
"Krusovice Imperial",Krusovice,Beer,Lager,330,bottle,5,1.7,0.5
Kwak,Kwak,Beer,Lager,330,bottle,8.4,2.8,0.84
"La Chouette","La Chouette",Cider,NULL,330,bottle,4.5,1.5,0.45
"La Chouffe Blonde","La Chouffe",Beer,Lager,568,draught,8,4.5,0.8
"La Chouffe Blonde","La Chouffe",Beer,Lager,330,bottle,8,2.6,0.8
"Lagunitas 12th of Never",Lagunitas,Beer,Ale,568,draught,5.5,3.1,0.55
"Lagunitas 12th of Never",Lagunitas,Beer,Ale,355,can,5.5,2,0.55
"Lagunitas DayTime",Lagunitas,Beer,IPA,355,bottle,4.6,1.6,0.46
"Lagunitas IPA",Lagunitas,Beer,IPA,568,draught,5.5,3.1,0.55
"Lagunitas IPA",Lagunitas,Beer,IPA,355,bottle,6.2,2.2,0.62
"Lal Toofan","Lal Toofan",Beer,Lager,568,draught,5,2.8,0.5
"Leffe Blonde",Leffe,Beer,Lager,568,draught,6.6,3.7,0.66
"Leffe Blonde",Leffe,Beer,Lager,330,bottle,6.6,2.2,0.66
"Leffe Brune",Leffe,Beer,"Abbey Beer",330,bottle,6.5,2.1,0.65
"Leffe Enkel",Leffe,Beer,Lager,568,draught,4.5,2.6,0.45
"Leffe Noel",Leffe,Beer,"Dark Ale",568,draught,6.6,3.7,0.66
"Liefmans Fruitesse",Liefmans,Beer,"Fruit Beer",568,draught,3.8,2.2,0.38
"Liefmans Fruitesse",Liefmans,Beer,"Fruit Beer",250,bottle,3.8,1,0.38
"Liefmans Fruitesse",Liefmans,Beer,"Fruit Beer",330,bottle,3.8,1.3,0.38
"Liefmans Kriek Brut",Liefmans,Beer,"Fruit Beer",330,bottle,6,2,0.6
"Little Creatures Pale Ale","Little Creatures",Beer,"Pale Ale",568,draught,5.2,3,0.52
"Little Creatures Pale Ale","Little Creatures",Beer,"Pale Ale",330,bottle,5.2,1.7,0.52
"Livewire American Style IPA","Electric Bear",Beer,IPA,330,bottle,5.4,1.8,0.54
"London Beer Factory Chelsea Blonde","The London Beer Factory",Beer,Lager,330,can,4.3,1.4,0.43
"London Bohemia Lager","The London Beer Factory",Beer,Lager,330,can,5,1.7,0.5
"London Pride",Fuller's,Beer,Ale,568,draught,4.1,2.3,0.41
"London Pride",Fuller's,Beer,Ale,330,bottle,4.7,1.6,0.47
"London Pride",Fuller's,Beer,Ale,500,bottle,4.7,2.4,0.47
"Lonerider Gunslinger Pale Ale",Lonerider,Beer,"Pale Ale",355,bottle,5.4,1.9,0.54
"Lonerider Hoppy Ki Yay",Lonerider,Beer,IPA,355,can,6.6,2.3,0.66
"Lonerider Saloon Style Pilsner",Lonerider,Beer,Lager,355,bottle,4.2,1.5,0.42
Lowenbrau,Lowenbrau,Beer,Lager,568,draught,5,2.8,0.5
"Lowlander American Pale Ale",Lowlander,Beer,"Pale Ale",330,bottle,4.5,1.5,0.45
"Lowlander IPA",Lowlander,Beer,IPA,330,bottle,6,2,0.6
"Lowlander Poorter",Lowlander,Beer,Porter,330,bottle,6,2,0.6
"Lowlander White Ale",Lowlander,Beer,Ale,330,bottle,5,1.7,0.5
Lushingtons,Skinners,Beer,"Pale Ale",568,draught,4.2,2.4,0.42
"Macbeth - Scottish Pale Ale",Deeside,Beer,"Pale Ale",500,bottle,4.1,2.1,0.41
"Machlachlan's Best Ale",Machlachlan's,Beer,Ale,568,draught,3.6,2,0.36
"Maeloc Blackberry Cider",Maeloc,Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Maeloc Dry Apple Cider",Maeloc,Cider,NULL,330,bottle,4.5,1.5,0.45
"Maeloc Strawberry Cider",Maeloc,Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Magners Dark Fruit",Magners,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Magners Dark Fruit",Magners,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Magners Golden Draught",Magners,Cider,NULL,568,draught,4.5,2.6,0.45
"Magners Orchard Berries",Magners,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Magners Original",Magners,Cider,NULL,568,draught,4.5,2.6,0.45
"Magners Original",Magners,Cider,NULL,330,bottle,4.5,1.5,0.45
"Magners Original",Magners,Cider,NULL,440,can,4.5,2,0.45
"Magners Original",Magners,Cider,NULL,500,bottle,4.5,2.3,0.45
"Magners Original",Magners,Cider,NULL,500,can,4.5,2.3,0.45
"Magners Original",Magners,Cider,NULL,568,bottle,4.5,2.6,0.45
"Magners Pear Cider",Magners,Cider,Perry,330,bottle,4.5,1.5,0.45
"Magners Pear Cider",Magners,Cider,Perry,568,bottle,4.5,2.6,0.45
Mahou,Mahou,Beer,Lager,568,draught,5.1,2.9,0.51
Mahou,Mahou,Beer,Lager,330,bottle,5.1,1.7,0.51
"Manns Brown Ale",Manns,Beer,"Brown Ale",275,bottle,2.8,0.8,0.28
"March Of The Penguins","Williams Bros. Brewing Co.",Beer,Stout,500,bottle,5,2.5,0.5
"Marmalade on Toast","Greene King",Beer,Ale,568,draught,4.5,2.6,0.45
"Marston's 61 Deep Pale Ale",Marston's,Beer,"Pale Ale",568,draught,3.8,2.2,0.38
"Marston's EPA",Marston's,Beer,"Blonde Ale",568,draught,3.6,2,0.36
"Marston's EPA",Marston's,Beer,"Blonde Ale",500,bottle,3.6,1.8,0.36
"Marston's Old Empire IPA",Marston's,Beer,IPA,500,bottle,5.7,2.9,0.57
"Marston's Pearl Jet",Marston's,Beer,Stout,568,draught,4.1,2.3,0.41
"Marston's Pearl Jet",Marston's,Beer,Stout,500,bottle,4.1,2.1,0.41
"Marston's Pedigree",Marston's,Beer,Ale,568,draught,4.5,2.6,0.45
"Marston's Pedigree",Marston's,Beer,Ale,500,bottle,5,2.5,0.5
"Marstons Resolution",Marston's,Beer,Ale,275,bottle,4.7,1.3,0.47
"McEwan's 60/-",McEwan's,Beer,"Pale Ale",568,draught,3.2,1.8,0.32
"McEwan's 70/-",McEwan's,Beer,Ale,568,draught,3.7,2.1,0.37
"McEwan's 80/-",McEwan's,Beer,Ale,568,draught,4.2,2.4,0.42
"McEwan's Export",McEwan's,Beer,Ale,568,draught,4.5,2.6,0.45
"McEwan's Export",McEwan's,Beer,Ale,500,can,4.5,2.3,0.45
"Meantime Anytime IPA",Meantime,Beer,IPA,568,draught,4.7,2.7,0.47
"Meantime Cali Pale Ale",Meantime,Beer,"Pale Ale",568,draught,5,2.8,0.5
"Meantime Chocolate Porter",Meantime,Beer,Porter,330,bottle,6.5,2.1,0.65
"Meantime Fest Bier",Meantime,Beer,Lager,568,draught,5.6,3.2,0.56
"Meantime Fools Gold",Meantime,Beer,Ale,568,draught,4.5,2.6,0.45
"Meantime Helles Lager",Meantime,Beer,Lager,568,draught,4.2,2.4,0.42
"Meantime Helles Lager",Meantime,Beer,Lager,330,bottle,4.2,1.4,0.42
"Meantime London IPA",Meantime,Beer,IPA,330,bottle,7.4,2.4,0.74
"Meantime London Lager",Meantime,Beer,Lager,568,draught,4.5,2.6,0.45
"Meantime London Lager",Meantime,Beer,Lager,330,bottle,4.5,1.5,0.45
"Meantime London Lager",Meantime,Beer,Lager,330,can,4.5,1.5,0.45
"Meantime London Pale Ale",Meantime,Beer,"Pale Ale",568,draught,4.3,2.4,0.43
"Meantime London Pale Ale",Meantime,Beer,"Pale Ale",330,bottle,4.3,1.4,0.43
"Meantime London Pale Ale",Meantime,Beer,"Pale Ale",330,can,4.3,1.4,0.43
"Meantime London Stout",Meantime,Beer,Stout,330,bottle,4.5,1.5,0.45
"Meantime Lucky Hop",Meantime,Beer,"Summer Ale",568,draught,4.4,2.5,0.44
"Meantime Meridian Lager",Meantime,Beer,Lager,568,draught,5,2.8,0.5
"Meantime Pilsner",Meantime,Beer,Lager,568,draught,4.4,2.5,0.44
"Meantime Pilsner",Meantime,Beer,Lager,330,bottle,4.4,1.5,0.44
"Meantime Wheat",Meantime,Beer,"Wheat Beer",330,bottle,5,1.7,0.5
"Meantime Winter Sun",Meantime,Beer,Ale,568,draught,5.9,3.4,0.59
"Meantime Yakima Red",Meantime,Beer,"Red Ale",568,draught,4.1,2.3,0.41
"Meantime Yakima Red",Meantime,Beer,"Red Ale",330,bottle,4.1,1.4,0.41
"Meantime Yakima Red",Meantime,Beer,"Red Ale",330,can,4.1,1.4,0.41
"Mela Rossa",Angioletti,Cider,NULL,330,bottle,5,1.7,0.5
"Menabrea Amber",Menabrea,Beer,Lager,330,bottle,5,1.7,0.5
"Menabrea Blonde",Menabrea,Beer,Lager,568,draught,4.8,2.7,0.48
"Menabrea Blonde",Menabrea,Beer,Lager,330,bottle,4.8,1.6,0.48
"Miller Genuine Draft",Miller,Beer,Lager,330,bottle,4.7,1.6,0.47
"Modelo Especial",Modelo,Beer,Lager,355,bottle,4.5,1.6,0.45
"Modelo Negra",Modelo,Beer,Lager,355,bottle,5.3,1.9,0.53
"Monteith's Bohemian Pilsner",Monteith's,Beer,Lager,330,bottle,5,1.7,0.5
"Monteith's Summer Ale",Monteith's,Beer,"Summer Ale",330,bottle,5,1.7,0.5
"Murphy's Irish Stout",Murphy's,Beer,Stout,568,draught,4,2.3,0.4
"My Generation Pale Ale","My Generation",Beer,"Pale Ale",568,draught,4.2,2.4,0.42
Natch,Natch,Cider,NULL,568,draught,5.2,3,0.52
Natch,Natch,Cider,NULL,500,can,5.2,2.6,0.52
"Newcastle Brown Ale","Newcastle Brown Ale",Beer,"Brown Ale",550,bottle,4.7,2.6,0.47
"Nomad Beach House Pale",Nomad,Beer,"Pale Ale",330,can,5,1.7,0.5
"Nomad Freshie Salt & Pepper Gose",Nomad,Beer,Gose,330,can,4.5,1.5,0.45
